data,Dis,V1,V2,V3,V4,V5
9/6/2021,0.125,0.149,31.8,16.871,73.652,32.557
9/20/2021,0.132,0.142,26.4,16.469,68.742,0
11/1/2021,2.096,0.478,9.4,8.322,89.479,63.062
11/15/2021,2.396,2.04,135.2,9.599,93.423,125.154
11/29/2021,7.8,2.784,111.4,3.899,94.952,163.609
12/13/2021,4.471,7.67,169.2,0.771,91.695,19.729
12/27/2021,5.044,5.985,106.4,7.164,91.719,39.66
1/10/2022,1.953,4.758,70,-0.412,93.302,22.527
1/24/2022,1.449,0.837,0.4,2.499,89.356,6.994
2/7/2022,2.912,1.696,5.2,5.658,82.575,4.651
2/21/2022,1.644,5.079,97.6,8.912,82.037,46.06
3/7/2022,1.093,1.641,46.2,-0.739,74.874,2.116
3/21/2022,3.301,1.024,0.6,3.297,77.797,13.856
4/4/2022,2.038,5.809,115.8,2.54,71.542,5.087
4/18/2022,6.299,1.486,19.2,9.513,72.254,67.193
5/2/2022,3.214,4.373,115.8,10.471,76.299,21.227
5/16/2022,0.893,2.611,61.4,18.246,82.469,3.284
5/30/2022,0.51,0.709,17,17.287,72.012,36.304
6/13/2022,0.331,0.436,9.8,17.357,77.839,2.271
6/27/2022,2.124,0.272,0.4,22.239,64.346,7.948
7/11/2022,0.113,0.154,26.8,18.625,63.616,5.498
7/25/2022,0.126,0.115,0.2,27.661,58.312,19.383
